movie_id,title,genre,release_date,budget_million_usd,box_office_million_usd,rating
1,Movie_19a1ac,Romance,1980-04-16,69.44,78.3,4.2
2,Movie_85edc4,Thriller,1980-03-12,32.17,74.84,5.5
3,Movie_5f78c7,Sci-Fi,1980-07-07,37.37,61.33,5.3
4,Movie_906e0d,Comedy,1980-01-21,32.58,68.22,7.1
5,Movie_2681ff,Thriller,1980-04-12,14.11,21.37,4.1
6,Movie_6d4495,Comedy,1980-05-01,40.7,71.44,6.9
7,Movie_058f00,Animation,1980-08-02,44.4,56.97,6.2
8,Movie_19e524,Thriller,1980-11-26,11.91,39.63,7.2
9,Movie_27bde9,Sci-Fi,1980-03-28,27.28,14.02,7.9
10,Movie_a5d46a,Action,1980-04-09,25.88,60.81,7.5
11,Movie_faadea,Sci-Fi,1980-12-25,33.31,70.71,9.4
12,Movie_313ee6,Sci-Fi,1980-05-31,26.93,8.93,4.8
13,Movie_51907f,Comedy,1980-05-10,28.98,60.55,6.4
14,Movie_304a62,Comedy,1980-05-29,39.63,63.67,6.3
15,Movie_c62095,Sci-Fi,1980-11-04,13.29,43.37,6.3
16,Movie_2cc6d6,Sci-Fi,1980-09-14,41.06,71.4,7.7
17,Movie_13441f,Sci-Fi,1980-12-09,47.12,56.02,6.7
18,Movie_dfeb63,Comedy,1980-10-20,54.51,68.5,6.8
19,Movie_887452,Sci-Fi,1980-07-10,1.0,76.03,6.4
20,Movie_5c0c9d,Sci-Fi,1980-10-03,27.26,76.04,9.5
21,Movie_c7b1ca,Animation,1980-06-09,1.0,90.5,9.1
22,Movie_d8aa16,Horror,1980-11-09,1.0,70.15,5.7
23,Movie_75540b,Action,1981-01-22,32.16,45.69,4.6
24,Movie_771e31,Drama,1981-09-10,24.01,40.57,8.6
25,Movie_ecefac,Action,1981-08-24,34.5,28.1,9.5
26,Movie_934b9a,Horror,1981-12-11,37.29,64.54,5.6
27,Movie_6a2e3a,Drama,1981-02-18,48.72,99.64,6.0
28,Movie_e81c18,Thriller,1981-02-28,30.81,49.25,9.2
29,Movie_388200,Sci-Fi,1981-06-19,73.85,73.49,7.9
30,Movie_52e134,Horror,1981-07-07,34.6,37.43,5.6
31,Movie_8f689c,Animation,1981-09-28,57.64,65.84,7.2
32,Movie_a3652f,Thriller,1981-07-09,1.0,97.78,9.2
33,Movie_912cb3,Sci-Fi,1981-06-24,50.25,80.59,8.5
34,Movie_dc260f,Comedy,1981-02-20,27.29,12.88,8.1
35,Movie_935bb9,Romance,1981-12-30,1.0,77.12,8.1
36,Movie_377cc0,Horror,1981-02-24,36.31,78.49,5.0
37,Movie_d57ede,Comedy,1981-09-01,25.46,65.2,8.5
38,Movie_edee8a,Horror,1981-11-16,38.7,80.03,5.5
39,Movie_af509c,Animation,1981-05-11,45.17,34.99,9.1
40,Movie_007b8f,Horror,1981-11-03,7.66,61.9,6.0
41,Movie_be3fe4,Comedy,1981-05-15,45.22,93.31,8.7
42,Movie_9dae71,Animation,1981-01-21,30.1,90.6,5.5
43,Movie_bc82a1,Drama,1982-03-30,50.29,76.44,6.8
44,Movie_0aad26,Action,1982-11-12,26.92,33.51,4.6
45,Movie_fc8804,Sci-Fi,1982-01-14,22.94,28.79,7.6
46,Movie_6b15b3,Horror,1982-08-30,30.41,63.44,8.6
47,Movie_0d6d0b,Sci-Fi,1982-09-22,31.53,65.42,8.0
48,Movie_1c762e,Romance,1982-12-12,20.06,56.99,6.9
49,Movie_c876e6,Comedy,1982-02-22,22.56,35.86,4.2
50,Movie_419c50,Sci-Fi,1982-12-06,11.6,73.11,9.1
51,Movie_f89785,Comedy,1982-04-02,23.48,63.3,7.9
52,Movie_fcd7c7,Sci-Fi,1982-09-21,40.14,68.69,8.1
53,Movie_82eaeb,Action,1982-02-04,27.94,77.8,8.4
54,Movie_8d4745,Action,1982-07-25,45.14,51.79,8.1
55,Movie_3fcbcb,Animation,1982-03-22,27.22,45.34,6.4
56,Movie_ad9bde,Action,1982-02-19,8.53,93.23,8.0
57,Movie_4427f1,Animation,1982-12-26,38.96,37.28,7.4
58,Movie_a0f2e5,Action,1982-01-02,19.9,45.92,8.7
59,Movie_f78cc7,Action,1982-02-23,26.5,97.03,8.4
60,Movie_276f1c,Action,1982-04-16,48.56,43.59,4.2
61,Movie_cb7911,Comedy,1982-09-17,12.59,57.04,6.1
62,Movie_3d07e2,Horror,1982-11-06,32.47,47.64,4.2
63,Movie_934ac2,Animation,1982-07-10,29.39,6.5,4.6
64,Movie_9b8d03,Sci-Fi,1983-08-06,40.51,56.3,7.3
65,Movie_e7b1eb,Action,1983-02-13,42.83,29.68,8.8
66,Movie_8fb26c,Comedy,1983-06-11,33.96,67.64,4.7
67,Movie_c99272,Comedy,1983-07-21,24.59,93.17,6.5
68,Movie_1f3b22,Comedy,1983-09-27,37.1,5.0,9.0
69,Movie_5b023c,Animation,1983-12-17,50.03,47.79,8.5
70,Movie_2fa19b,Horror,1983-10-31,29.59,73.57,6.9
71,Movie_dfc44d,Animation,1983-09-28,25.99,5.0,8.2
72,Movie_f9ee46,Sci-Fi,1983-08-03,35.82,100.09,6.9
73,Movie_ea0001,Horror,1983-09-09,30.58,71.4,4.9
74,Movie_7d1692,Drama,1983-07-09,9.93,92.5,4.7
75,Movie_1dbbb9,Thriller,1983-10-23,33.59,43.08,5.0
76,Movie_aa5d41,Comedy,1983-08-01,9.8,46.7,5.9
77,Movie_bbd9f6,Animation,1983-07-27,35.62,55.17,9.1
78,Movie_268afe,Drama,1983-08-25,18.04,124.15,8.4
79,Movie_443831,Romance,1983-12-04,30.55,99.54,6.4
80,Movie_6795cb,Animation,1983-02-22,35.86,63.97,6.7
81,Movie_826b41,Action,1983-10-07,66.81,67.63,5.5
82,Movie_809c9f,Thriller,1983-08-05,41.14,79.05,7.9
83,Movie_0bfbe3,Action,1983-09-09,50.47,131.75,8.4
84,Movie_576067,Horror,1983-07-07,58.08,71.48,5.3
85,Movie_3122b4,Thriller,1983-02-10,37.34,61.38,4.2
86,Movie_6aff38,Animation,1983-06-06,34.29,49.84,7.4
87,Movie_5f756d,Sci-Fi,1983-01-15,14.0,67.05,7.1
88,Movie_582672,Drama,1984-05-15,28.25,42.39,6.2
89,Movie_d1f7c1,Sci-Fi,1984-03-03,19.15,74.88,7.5
90,Movie_34c419,Animation,1984-05-18,23.98,17.02,7.0
91,Movie_4e6e33,Horror,1984-03-21,58.06,52.18,5.4
92,Movie_8ea0cb,Action,1984-06-11,31.72,82.04,6.2
93,Movie_3d5232,Thriller,1984-10-15,16.86,71.07,6.4
94,Movie_8f7ba2,Sci-Fi,1984-09-17,50.62,46.12,8.8
95,Movie_d0ef7f,Animation,1984-08-18,44.33,53.04,9.3
96,Movie_321541,Sci-Fi,1984-02-10,45.11,91.06,8.9
97,Movie_390b93,Animation,1984-01-28,1.0,23.69,8.0
98,Movie_fdb2e0,Action,1984-05-14,59.23,23.86,7.2
99,Movie_34f623,Thriller,1984-07-19,21.62,32.11,7.8
100,Movie_18f9ac,Drama,1984-11-23,41.67,59.68,9.2
101,Movie_00cf93,Action,1984-09-24,67.86,19.3,5.4
102,Movie_0445db,Sci-Fi,1984-02-02,62.33,88.59,6.9
103,Movie_595fe3,Drama,1984-02-17,15.34,32.27,7.8
104,Movie_d87405,Animation,1985-03-03,8.33,66.73,7.7
105,Movie_912572,Drama,1985-08-04,51.46,42.63,5.4
106,Movie_d16d15,Animation,1985-10-20,32.13,58.04,7.2
107,Movie_e5ab2c,Action,1985-04-09,22.49,11.9,8.4
108,Movie_4dac9c,Sci-Fi,1985-06-21,39.32,90.04,6.6
109,Movie_8b8de1,Horror,1985-12-26,27.56,31.16,8.4
110,Movie_e14e51,Sci-Fi,1985-08-02,40.52,28.01,6.0
111,Movie_83bd79,Animation,1985-02-04,31.0,131.37,9.2
112,Movie_52b7ec,Comedy,1985-08-15,40.84,76.63,6.9
113,Movie_0cd6c0,Thriller,1985-04-11,16.58,88.87,7.3
114,Movie_dfad13,Romance,1985-05-11,51.37,73.77,4.2
115,Movie_027b4f,Horror,1985-09-14,40.46,46.43,4.9
116,Movie_af4098,Drama,1985-01-05,39.69,20.79,7.5
117,Movie_a60463,Horror,1985-08-06,13.23,51.04,6.3
118,Movie_352446,Thriller,1985-09-12,55.49,30.66,6.8
119,Movie_adbb5f,Drama,1985-12-25,29.79,32.46,4.3
120,Movie_d70044,Thriller,1985-10-10,40.92,12.5,8.6
121,Movie_74bfa4,Drama,1985-07-26,25.16,63.43,8.3
122,Movie_580b84,Horror,1985-01-15,33.91,107.2,5.0
123,Movie_131791,Drama,1985-12-12,34.46,76.74,7.5
124,Movie_6ec520,Drama,1986-02-21,1.0,56.83,8.5
125,Movie_e7ae0f,Comedy,1986-04-06,38.74,58.78,7.5
126,Movie_957085,Sci-Fi,1986-08-10,59.48,5.0,5.7
127,Movie_e823f2,Sci-Fi,1986-08-19,38.1,47.28,7.6
128,Movie_128eac,Romance,1986-08-25,15.63,17.2,5.2
129,Movie_8d5917,Romance,1986-05-23,39.75,64.03,5.8
130,Movie_7c9ca9,Animation,1986-06-20,45.89,52.2,5.3
131,Movie_c29777,Animation,1986-01-29,37.69,33.92,7.1
132,Movie_ca128f,Animation,1986-02-05,28.89,63.36,4.6
133,Movie_2c5fe6,Comedy,1986-01-13,26.37,63.1,9.1
134,Movie_ad9ab1,Romance,1986-06-09,26.31,105.56,5.8
135,Movie_560653,Thriller,1986-11-23,40.47,80.59,5.2
136,Movie_e27ef6,Animation,1986-07-06,8.89,66.51,6.7
137,Movie_5c7244,Animation,1986-08-31,24.42,31.57,5.5
138,Movie_5ef1b0,Horror,1986-03-27,53.93,27.8,6.9
139,Movie_b55dcf,Action,1986-10-11,54.51,77.97,5.9
140,Movie_a1e6ac,Thriller,1986-03-07,7.83,54.0,4.7
141,Movie_ab1132,Animation,1986-06-19,13.03,67.48,5.5
142,Movie_8c79d2,Animation,1986-02-14,25.94,89.34,6.4
143,Movie_9fe85d,Animation,1986-03-03,43.39,14.61,4.2
144,Movie_919cf8,Action,1986-05-14,2.59,101.91,8.2
145,Movie_4c879f,Action,1986-10-11,29.18,89.08,7.4
146,Movie_14e6bf,Comedy,1986-01-28,22.89,5.0,7.3
147,Movie_b64e68,Thriller,1986-04-18,49.89,130.59,7.0
148,Movie_e3d663,Comedy,1986-02-13,4.85,69.64,7.2
